Cores, Time
1, 5855952050967489805438133975662951973049149352600882534277235888353937266836555577413018389995857859602144469985418233501207967712921218808217958283649231725925498880.000000000000000000000000000000
1, 1.038788132999999724859208072303
1, 1.038776809499999842500983504578
1, 1.038786707999999947560354485177
1, 1.038762848000000182935309567256
1, 1.038781913500000264605205302360
1, 1.038765786000000801436726760585
1, 1.038813313000000349006768374238
1, 1.038771405999999508651399082737
1, 1.038765916000000011365500540705
1, 1.038753476999999314500655600568
1, 1.038795091999999975485025061062
1, 1.038768002000000301165982818929
1, 1.038792924000000006401478458429
1, 1.038771770000001204437012347626
1, 1.038800089500001355702352157095
1, 1.038742611999997400573647610145
1, 1.038753576499999553561792708933
1, 1.038750998999997676719431183301
1, 1.038781336499997820510543533601
2, 0.259690805999999996256377698955
2, 0.259665930000000044763908135792
2, 0.259661526499999961714593155193
2, 0.259678068499999969986902215169
2, 0.259715555000000097862766779144
2, 0.259696674999999821409346623113
2, 0.259661911999999883704504100024
2, 0.259657475000000470544136987883
2, 0.259767389999999487315562873846
2, 0.259756167499999968129031913122
2, 0.259758501999999502629634662298
2, 0.260018717000000343375631928211
2, 0.259806930000000768643531046109
2, 0.259760472500000005879883246962
2, 0.259762476000000575027115701232
2, 0.259766713499999468695023097098
2, 0.259776085000000378499862563331
2, 0.259762399499999574459252471570
2, 0.259763391999999981862856657244
2, 0.259767729500000044140506361146
3, 0.173100913999999994619116705508
3, 0.173109350000000050684434427239
3, 0.173203650499999861622768548841
3, 0.173105449499999952678308545728
3, 0.173113320000000125986616694718
3, 0.173209442000000102268586488208
3, 0.173103534999999641996737409499
3, 0.173113384500000133670027935295
3, 0.173204515500000155725501826964
3, 0.173211710000000351783455698751
3, 0.173109968500000377389369532466
3, 0.173116461999999859955323699978
3, 0.173200579999999604297045152634
3, 0.173107867499999734661741968011
3, 0.173110445499999876517449592939
3, 0.173203632999999967978510539979
3, 0.173101255500000661413650959730
3, 0.173122404999999979224867274752
3, 0.173204976000000065994299802696
3, 0.173105330500000320625986205414
4, 0.129975697000000001146702288679
4, 0.129821211999999963637719702092
4, 0.129944958999999915505441094865
4, 0.129827443000000042339081574028
4, 0.129837779000000042017859414045
4, 0.129831177500000061186824495962
4, 0.129838084000000186790657608071
4, 0.129831071000000131121510094090
4, 0.129834337000000132888999360148
4, 0.129825043000000306392394122668
4, 0.129839524000000317016656481428
4, 0.129828749999999715214471507352
4, 0.129833617000000067775999923469
4, 0.129834393000000325457676808583
4, 0.129840284999999777681978230248
4, 0.129831681500000684081896906719
4, 0.129838069500000763412117521511
4, 0.129927518999999769278019812191
4, 0.129836490999999831785771675641
4, 0.129926699500000353282302967273
5, 0.103876778999999988539748585481
5, 0.103864830499999949431355616980
5, 0.103962294500000052011046136613
5, 0.103872490999999955718635646917
5, 0.103865401500000009704649528430
5, 0.103864084000000023166876417235
5, 0.103882601999999879538449931715
5, 0.103969138499999891323000156262
5, 0.103872123999999788068748785008
5, 0.103959814000000205780338546901
5, 0.103874978999999978412915879744
5, 0.103875249000000113852593131014
5, 0.103881016999999964411927066976
5, 0.103869433999999927209501038305
5, 0.103963853999999855659552849829
5, 0.103879421500000290734533336945
5, 0.103884502500000142077851705835
5, 0.103871692499999834780055607553
5, 0.103868300999999885192437432124
5, 0.103970960499999875992216402665
6, 0.086555604000000008202420076486
6, 0.086560251000000032473025157742
6, 0.086678657499999978153226720679
6, 0.086559260499999957083616664022
6, 0.086554962499999943403850011236
6, 0.086653489000000027964176751993
6, 0.086561062499999952279949866352
6, 0.086555294999999921046196504903
6, 0.086555005999999989896309671167
6, 0.086550317499999973591684465646
6, 0.086552611999999973235730976739
6, 0.086559604000000067713926910073
6, 0.086553982499999904121068539098
6, 0.086560766499999886036675889045
6, 0.086559819499999690606273361482
6, 0.086550225499999910994120000396
6, 0.086649118500000010811845641001
6, 0.086551370000000016347030395991
6, 0.086549434000000147193532029632
6, 0.086655177499999958001808408881
7, 0.074185773999999995997889357113
7, 0.074185000499999986800503393169
7, 0.074185946499999988468232459127
7, 0.074198973000000001398746007908
7, 0.074185571499999936051494842104
7, 0.074194655500000039616281810595
7, 0.074289731000000025495921818219
7, 0.074191330499999930125909486378
7, 0.074185470500000016969011085166
