Cores, Time
2, 0.349084138870239257812500000000
3, 0.232992649078369140625000000000
4, 0.175631046295166015625000000000
5, 0.135660886764526367187500000000
6, 0.107889294624328613281250000000
7, 0.087009072303771972656250000000
8, 0.076288819313049316406250000000
9, 0.067916512489318847656250000000
10, 0.061461329460144042968750000000
11, 0.060928463935852050781250000000
12, 0.050994038581848144531250000000
2, 0.698426723480224609375000000000
3, 0.701359868049621582031250000000
4, 0.702294707298278808593750000000
5, 0.610298871994018554687500000000
6, 0.612823486328125000000000000000
7, 0.612157464027404785156250000000
8, 0.650602817535400390625000000000
9, 0.647084236145019531250000000000
10, 0.615426898002624511718750000000
11, 0.618020296096801757812500000000
12, 0.612789273262023925781250000000
